nom_ent,ambito,rubro,mean,se,cv,confianza
Aguascalientes,Rural,Alimentos,4786.724819739031,130.77224130827952,0.027319774215767253,Alta
Aguascalientes,Rural,Gasto corriente,12365.359847421501,412.04344670517617,0.03332239836037589,Alta
Aguascalientes,Rural,NANV,6814.157884500416,317.42611616006207,0.04658332277302881,Alta
Aguascalientes,Rural,Vivienda,764.4771431820545,30.416432456577816,0.039787235926992744,Alta
Aguascalientes,Urbano,Alimentos,6282.60075761952,121.30511992686223,0.0193081057680999,Alta
Aguascalientes,Urbano,Gasto corriente,18702.834832647688,432.1061973501023,0.0231037808554999,Alta
Aguascalientes,Urbano,NANV,10794.827616492632,335.30019246235037,0.031061190078669677,Alta
Aguascalientes,Urbano,Vivienda,1625.406458535536,58.88277511491454,0.0362264926447794,Alta
Baja California,Rural,Alimentos,5745.670019471876,138.14852173803246,0.02404393591519386,Alta
Baja California,Rural,Gasto corriente,14307.9506434713,327.355195021704,0.022879251066684085,Alta
Baja California,Rural,NANV,7047.530295540805,217.73650409226397,0.03089543357196105,Alta
Baja California,Rural,Vivienda,1514.750328458619,57.138585371261655,0.03772145435307797,Alta
Baja California,Urbano,Alimentos,6530.193252613608,148.41252503333013,0.022727126027078957,Alta
Baja California,Urbano,Gasto corriente,18695.89468847865,386.41139241925276,0.02066824823619588,Alta
Baja California,Urbano,NANV,9608.768950297599,257.1751210048128,0.02676462742887034,Alta
Baja California,Urbano,Vivienda,2556.932485567442,84.9658261530017,0.03322959312871565,Alta
Baja California Sur,Rural,Alimentos,4867.042493869898,162.85568517661156,0.0334609129428663,Alta
Baja California Sur,Rural,Gasto corriente,13304.02463409517,672.9876828539543,0.05058527034963847,Alta
Baja California Sur,Rural,NANV,7432.739489398529,489.495226075138,0.06585663694702541,Alta
Baja California Sur,Rural,Vivienda,1004.2426508267442,121.99481837897923,0.12147942360200178,Alta
Baja California Sur,Urbano,Alimentos,6318.124907338984,159.34933573629903,0.025220985351397947,Alta
Baja California Sur,Urbano,Gasto corriente,19180.175929558234,443.2409508046369,0.023109326652294468,Alta
Baja California Sur,Urbano,NANV,10678.053576424374,328.71594000402746,0.030784256480018566,Alta
Baja California Sur,Urbano,Vivienda,2183.9974457948774,79.70657072738982,0.036495725249522985,Alta
Campeche,Rural,Alimentos,4469.499493931904,201.3946483451244,0.045059776518277146,Alta
