nom_ent,ambito,integrantes,integrantes_cv,trabajadoras,trabajadoras_cv,ratio
Nacional,Total,3.3537328519558085,0.002991338136360251,1.6398320844352454,0.003755264547111249,2.0451684558366394
Aguascalientes,Rural,3.765615252651279,0.017419775720058664,1.6024641297567062,0.024465512857264515,2.349890510948905
Aguascalientes,Urbano,3.3925330918609764,0.012779653342499395,1.6257750924386367,0.015195544132919986,2.0867173495518565
Baja California,Rural,3.085613296638066,0.014420091727330617,1.3246182073282609,0.021379285654129238,2.3294359684680095
Baja California,Urbano,3.1798853269292024,0.012388041752860235,1.4743506691051993,0.016506350133061776,2.1568039365147182
Baja California Sur,Rural,2.9424884937649973,0.04891583545164509,1.4800755281066835,0.03702714115204674,1.9880664451827241
Baja California Sur,Urbano,3.156825364381063,0.014175972382976802,1.6628001132057673,0.015400103238704275,1.8984996087683175
Campeche,Rural,3.544379724514721,0.031766874805518014,2.017546648936939,0.027824284870484665,1.7567770868556034
Campeche,Urbano,3.4041574705156004,0.013331281431144369,1.6588657378148972,0.020087283944902837,2.0520994513996342
Chiapas,Rural,4.020804835287026,0.027941052872170528,1.9882571993977909,0.0269735866235458,2.0222760096152848
Chiapas,Urbano,3.550059497562714,0.019321337570918255,1.7456609061750619,0.023157865754538428,2.033647820722119
Chihuahua,Rural,3.133929952194289,0.019811833263209788,1.4544232049325274,0.02375617631288712,2.1547579422315914
Chihuahua,Urbano,3.191457812110687,0.010381065074513496,1.5369657866422048,0.014415463617900508,2.0764663988279373
Ciudad de México,Rural,3.6896223043012033,0.023067355170769053,1.8936018110330037,0.03262414621739138,1.948467878940414
Ciudad de México,Urbano,3.0283793023358987,0.013429340500063522,1.5392794884040157,0.01625261443156249,1.9674005436633466
Coahuila,Rural,3.371326183355677,0.02709514001071094,1.4625657419820564,0.02933671201117423,2.305076679005817
Coahuila,Urbano,3.352704321542915,0.009442924451400572,1.5539745234877584,0.012969701183537793,2.157502758808469
Colima,Rural,3.1533057495043533,0.01798372531529553,1.6005516765796053,0.020362006517283995,1.9701367944851358
Colima,Urbano,2.9532879326405657,0.012941958715019644,1.5547476282207813,0.015868973217694704,1.8995288232214529
Durango,Rural,3.708115902714819,0.019371632272248314,1.6568320210161118,0.02303054043113437,2.2380759519849716
Durango,Urbano,3.4698495373285447,0.014542307608828403,1.6660806665289818,0.017536587228161104,2.082641979489164
Guanajuato,Rural,3.663878998199985,0.014902420687453115,1.5432918735217056,0.022666675459491657,2.374067447033994
Guanajuato,Urbano,3.5003865262915403,0.013739167791546108,1.6371681023884888,0.02169625832101038,2.138073983474742
Guerrero,Rural,3.798224178727818,0.02585000264774571,1.902311767331804,0.028968037160628717,1.9966360109600934
Guerrero,Urbano,3.455843806598562,0.019856855047326608,1.7760908233784665,0.02479504563645472,1.94575849450361
Hidalgo,Rural,3.437148424943748,0.019759453057987354,1.6360093217614915,0.025972592020166788,2.1009344991035683
Hidalgo,Urbano,3.2591465387716694,0.017143116350131663,1.6241212903541775,0.021959746348077184,2.006713758466239
Jalisco,Rural,3.31501465404303,0.021022854149979474,1.4730217041909213,0.03006346292829325,2.25048595320179
Jalisco,Urbano,3.2665195776890785,0.013537752705256098,1.6967025563209823,0.017022830541616813,1.9252163943054248
Michoacán,Rural,3.474680725399638,0.02192397715471377,1.703224697669465,0.019920033042508403,2.040060087288582
Michoacán,Urbano,3.4008663155118377,0.016886644346234544,1.7490545582896329,0.0180049998771026,1.9444026485014168
Morelos,Rural,3.304228107677258,0.027098834173091224,1.6827530403487796,0.03800483456186665,1.9635846903550385
Morelos,Urbano,3.2610355248858527,0.013093449606082073,1.6116877680878925,0.019017789117590573,2.0233668018432303
México,Rural,3.834872499749438,0.014237585104784501,1.8128659994559226,0.018129803994316816,2.1153645668793835
México,Urbano,3.436328510766274,0.014852162054655317,1.6631027868906316,0.017905702428894815,2.0662153523240128
Nacional,Rural,3.5852600210932755,0.005538206196389225,1.70114474578578,0.006687943498097902,2.107557296329419
Nacional,Urbano,3.2978212950095904,0.0034861828661014167,1.6250256737258861,0.0043927001495436355,2.0293964263643236
Nayarit,Rural,3.4493351296317245,0.039050868736620246,1.8108230406121126,0.03300854990549467,1.9048438484998211
Nayarit,Urbano,3.11625854311914,0.01477797610303467,1.6195178074664285,0.022514669876609748,1.9241891189786982
Nuevo León,Rural,3.333213929728383,0.01608923131999238,1.3856528781460253,0.019588988879073132,2.405518714173317
Nuevo León,Urbano,3.295524463525052,0.010892108367915177,1.6140115813294795,0.015243990273054207,2.041822067231074
Oaxaca,Rural,3.61018565239917,0.017330851720029423,1.8644523161406712,0.021663520680896636,1.936325011450057
Oaxaca,Urbano,3.4355886902563224,0.022215889037796272,1.7971453043013996,0.02868152804680372,1.9116922165577654
Puebla,Rural,3.718129510554852,0.03613451106935947,1.8676432619840908,0.03953349963793953,1.9908135489455825
Puebla,Urbano,3.4393564178348495,0.01766610393532144,1.733380914420235,0.022691888275357897,1.984189619963142
Querétaro,Rural,3.713014892101049,0.015944306180093425,1.762960924989242,0.021958798784325807,2.106124327244353
Querétaro,Urbano,3.2489046398002968,0.015289704680131685,1.6664203790350482,0.016549063029730842,1.9496308858642237
Quintana Roo,Rural,3.5787119384322774,0.03191772874617169,1.5984889843791275,0.0334359965624273,2.2388092588716164
Quintana Roo,Urbano,3.18573674857414,0.012963496354193148,1.740600489397929,0.01640311605356869,1.830251552828232
San Luis Potosí,Rural,3.471709938371189,0.017721668179591893,1.4566102993233598,0.030347470035853318,2.3834171294710087
San Luis Potosí,Urbano,3.3327228717727735,0.015499578699400277,1.7213938722676514,0.021120752473808055,1.9360606108016771
Sinaloa,Rural,3.381930608038475,0.020989690611095874,1.3766452372773226,0.04147558917254173,2.4566464303665705
Sinaloa,Urbano,3.302860266724259,0.011359703628432482,1.4982870795313428,0.015008338544424314,2.204424180015874
Sonora,Rural,3.3126459234454213,0.02518984258930755,1.5231012511045998,0.027220085911675282,2.1749348055771005
Sonora,Urbano,3.2033521778249843,0.012749860727170735,1.5643899565063284,0.016767540200398657,2.0476685908792627
Tabasco,Rural,3.4265336120121312,0.016897262270090037,1.7373245594993705,0.02386849219596575,1.9723048254147315
Tabasco,Urbano,3.325695958410196,0.013915590736330707,1.7150879497642872,0.019153542086715197,1.9390818755780206
Tamaulipas,Rural,3.1202456236825222,0.023895621515846902,1.445174594445972,0.031410498766398065,2.159078657813461
Tamaulipas,Urbano,3.223574683362635,0.012773384167214756,1.5011152571968474,0.015509550119848068,2.147453147190226
Tlaxcala,Rural,3.728087487520026,0.04587713656853503,1.8488007615686457,0.039925299935155444,2.0164895888277696
Tlaxcala,Urbano,3.6149249271681483,0.013294978900955812,1.809607994488849,0.017501708162340025,1.9976287340558738
Veracruz,Rural,3.4468621059627584,0.017819570798647554,1.5807945051978778,0.027047900074369587,2.1804618466403975
Veracruz,Urbano,3.0921421763722075,0.01635051111277058,1.390203229701805,0.02793660402858224,2.224237514565021
Yucatán,Rural,3.767922142189476,0.02045921392282787,1.9815252652993898,0.020389490344513397,1.901526166823908
Yucatán,Urbano,3.2503464461332143,0.015216837074551813,1.7596286480618175,0.018156403963438466,1.8471774994760295
Zacatecas,Rural,3.531300409302005,0.022924603855849,1.46076039472098,0.02799467829275703,2.417439863555802
Zacatecas,Urbano,3.4306663741818886,0.015989980420428863,1.5746409149098481,0.02070427680836957,2.178697594923286
