date,ambito,componente,valor
2022-03-01,Rural,NANV,3804.25990040746
2022-04-01,Rural,Alimentos,2423.63298761603
2022-04-01,Rural,Vivienda,3937.62458062543
2022-04-01,Rural,NANV,3824.83904084026
2022-05-01,Rural,Alimentos,2442.54763684712
2022-05-01,Rural,Vivienda,3873.24182376571
2022-05-01,Rural,NANV,3831.58266685901
2022-06-01,Rural,Alimentos,2477.61146729515
2022-06-01,Rural,Vivienda,3882.51818241341
2022-06-01,Rural,NANV,3863.93940766258
2022-07-01,Rural,Alimentos,2504.11871820778
2022-07-01,Rural,Vivienda,3897.8983160821
2022-07-01,Rural,NANV,3892.56024297219
2022-08-01,Rural,Alimentos,2518.89446010814
2022-08-01,Rural,Vivienda,3898.6224927795
2022-08-01,Rural,NANV,3919.62972769534
2022-09-01,Rural,Alimentos,2545.73091143992
2022-09-01,Rural,Vivienda,3890.31170306167
2022-09-01,Rural,NANV,3943.94477362209
2022-10-01,Rural,Alimentos,2553.27368915202
2022-10-01,Rural,Vivienda,3910.93349663538
2022-10-01,Rural,NANV,3966.26522593767
2022-11-01,Rural,Alimentos,2556.30675018846
2022-11-01,Rural,Vivienda,3975.45419191366
2022-11-01,Rural,NANV,3989.09224171005
2022-12-01,Rural,Alimentos,2573.10518094551
2022-12-01,Rural,Vivienda,3962.10864991863
2022-12-01,Rural,NANV,4004.32080563033
2023-01-01,Rural,Alimentos,2605.07544582715
2023-01-01,Rural,Vivienda,3976.14388400643
2023-01-01,Rural,NANV,4031.48527100162
2023-02-01,Rural,Alimentos,2623.70215678218
2023-02-01,Rural,Vivienda,4000.07619962541
2023-02-01,Rural,NANV,4053.96402439745
2023-03-01,Rural,Alimentos,2620.65131266346
2023-03-01,Rural,Vivienda,3991.62747148903
2023-03-01,Rural,NANV,4064.82347850276
2023-04-01,Rural,Alimentos,2628.9759760342
2023-04-01,Rural,Vivienda,3928.96894486122
2023-04-01,Rural,NANV,4064.00031288545
2023-05-01,Rural,Alimentos,2622.45951472883
2023-05-01,Rural,Vivienda,3852.1717303317
2023-05-01,Rural,NANV,4055.16711260737
2023-06-01,Rural,Alimentos,2632.95390189153
2023-06-01,Rural,Vivienda,3834.65355117544
2023-06-01,Rural,NANV,4059.28294069393
2023-07-01,Rural,Alimentos,2671.6021528136
2023-07-01,Rural,Vivienda,3832.03272122293
2023-07-01,Rural,NANV,4078.84895421311
2023-08-01,Rural,Alimentos,2680.01083713254
2023-08-01,Rural,Vivienda,3860.24112781707
2023-08-01,Rural,NANV,4101.42268825709
2023-09-01,Rural,Alimentos,2679.26243211043
2023-09-01,Rural,Vivienda,3877.48343013622
2023-09-01,Rural,NANV,4119.62731248611
2023-10-01,Rural,Alimentos,2663.02538452013
2023-10-01,Rural,Vivienda,3951.90120694569
2023-10-01,Rural,NANV,4135.10915813478
2023-11-01,Rural,Alimentos,2674.28524995955
2023-11-01,Rural,Vivienda,4031.31925142772
2023-11-01,Rural,NANV,4161.57709875297
2023-12-01,Rural,Alimentos,2699.39368949358
2023-12-01,Rural,Vivienda,4041.52669440066
2023-12-01,Rural,NANV,4190.9577792478
2024-01-01,Rural,Alimentos,2742.59696290388
2024-01-01,Rural,Vivienda,4067.07978643765
2024-01-01,Rural,NANV,4228.38015461945
2024-02-01,Rural,Alimentos,2722.85256365582
2024-02-01,Rural,Vivienda,4113.66848730401
2024-02-01,Rural,NANV,4232.3693418418
2024-03-01,Rural,Alimentos,2742.65068027907
2024-03-01,Rural,Vivienda,4119.11705483686
2024-03-01,Rural,NANV,4244.52686480518
2024-04-01,Rural,Alimentos,2772.05015092195
2024-04-01,Rural,Vivienda,4068.90747048348
2024-04-01,Rural,NANV,4253.10678335486
2024-05-01,Rural,Alimentos,2769.88086173819
2024-05-01,Rural,Vivienda,3989.69633362928
2024-05-01,Rural,NANV,4245.22338955829
2024-06-01,Rural,Alimentos,2810.40382241632
2024-06-01,Rural,Vivienda,3999.5244459512
2024-06-01,Rural,NANV,4261.27511909587
2024-07-01,Rural,Alimentos,2863.39245288542
2024-07-01,Rural,Vivienda,4038.11271854147
2024-07-01,Rural,NANV,4305.88436351098
2024-08-01,Rural,Alimentos,2820.60174523602
2024-08-01,Rural,Vivienda,4048.28567690977
2024-08-01,Rural,NANV,4306.20096567148
2024-09-01,Rural,Alimentos,2802.68816373949
2024-09-01,Rural,Vivienda,4057.7689431853
2024-09-01,Rural,NANV,4308.32220014686
2024-10-01,Rural,Alimentos,2817.76553045826
2024-10-01,Rural,Vivienda,4093.70190121842
2024-10-01,Rural,NANV,4332.00404175261
2024-11-01,Rural,Alimentos,2813.2949798741
2024-11-01,Rural,Vivienda,4157.70532742713
2024-11-01,Rural,NANV,4350.87353051868
2024-12-01,Rural,Alimentos,2812.93413591865
2024-12-01,Rural,Vivienda,4170.36117732939
2024-12-01,Rural,NANV,4367.49514394518
2025-01-01,Rural,Alimentos,2827.24693054059
2025-01-01,Rural,Vivienda,4190.05188657786
2025-01-01,Rural,NANV,4379.96926906906
2025-02-01,Rural,Alimentos,2839.62228808012
2025-02-01,Rural,Vivienda,4206.12171233932
2025-02-01,Rural,NANV,4392.09513181638
2025-03-01,Rural,Alimentos,2866.72902285796
2025-03-01,Rural,Vivienda,4217.19127042821
2025-03-01,Rural,NANV,4405.86732579833
2025-04-01,Rural,Alimentos,2897.72811148153
2025-04-01,Rural,Vivienda,4192.8796241582
2025-04-01,Rural,NANV,4420.3993649655
2025-05-01,Rural,Alimentos,2957.28380831006
2025-05-01,Rural,Vivienda,4155.80867417202
2025-05-01,Rural,NANV,4432.81016965728
2025-06-01,Rural,Alimentos,2965.27120282529
2025-06-01,Rural,Vivienda,4163.39528719245
2025-06-01,Rural,NANV,4445.25263456511
2025-07-01,Rural,Alimentos,2967.62977835967
2025-07-01,Rural,Vivienda,4173.36133793292
2025-07-01,Rural,NANV,4457.12521558403
2025-08-01,Rural,Alimentos,2958.53703575761
2025-08-01,Rural,Vivienda,4182.74115039454
2025-08-01,Rural,NANV,4459.87965438042
2025-09-01,Rural,Alimentos,2964.2408245419
2025-09-01,Rural,Vivienda,4188.29317174131
2025-09-01,Rural,NANV,4470.32752567708
2025-10-01,Rural,Alimentos,2952.298568657
2025-10-01,Rural,Vivienda,4233.95078828243
2025-10-01,Rural,NANV,4486.50589607886
2025-11-01,Rural,Alimentos,2970.20113829681
2025-11-01,Rural,Vivienda,4292.22977012117
2025-11-01,Rural,NANV,4516.17151851814
2025-12-01,Rural,Alimentos,2976.48215963713
2025-12-01,Rural,Vivienda,4299.26462946739
2025-12-01,Rural,NANV,4528.74062429018
2026-01-01,Rural,Alimentos,2995.90417336994
2026-01-01,Rural,Vivienda,4312.12738699748
2026-01-01,Rural,NANV,4546.02710225373
2026-02-01,Rural,Alimentos,3021.19241789331
2026-02-01,Rural,Vivienda,4321.67962248229
2026-02-01,Rural,NANV,4568.79079759401
2026-03-01,Rural,Alimentos,3090.88476892085
2026-03-01,Rural,Vivienda,4344.78430758996
2026-03-01,Rural,NANV,4607.95448484843
2026-04-01,Rural,Alimentos,3077.76818207285
2026-04-01,Rural,Vivienda,4317.19662387931
2026-04-01,Rural,NANV,4617.04096685492
2026-05-01,Rural,Alimentos,3047.33345180658
2026-05-01,Rural,Vivienda,4285.74666444917
2026-05-01,Rural,NANV,4607.41626117558
2018-08-01,Urbano,Alimentos,1974.13305119558
2018-08-01,Urbano,Vivienda,5144.97613670813
2018-08-01,Urbano,NANV,3689.42773640925
2018-09-01,Urbano,Alimentos,1977.10976211951
2018-09-01,Urbano,Vivienda,5178.40274387769
2018-09-01,Urbano,NANV,3705.03103605473
2018-10-01,Urbano,Alimentos,1972.53297766717
2018-10-01,Urbano,Vivienda,5249.87714814809
2018-10-01,Urbano,NANV,3724.23227303023
2018-11-01,Urbano,Alimentos,2000.27112815582
2018-11-01,Urbano,Vivienda,5329.10488219206
2018-11-01,Urbano,NANV,3755.91614972212
2018-12-01,Urbano,Alimentos,2039.41822074643
2018-12-01,Urbano,Vivienda,5336.60147919169
2018-12-01,Urbano,NANV,3782.23983406521
2019-01-01,Urbano,Alimentos,2043.75814899586
2019-01-01,Urbano,Vivienda,5341.73613467088
2019-01-01,Urbano,NANV,3785.47063493298
2019-02-01,Urbano,Alimentos,2021.74128293884
2019-02-01,Urbano,Vivienda,5354.47008025929
2019-02-01,Urbano,NANV,3784.40593919246
2019-03-01,Urbano,Alimentos,2028.17020718057
2019-03-01,Urbano,Vivienda,5371.36309678584
2019-03-01,Urbano,NANV,3798.98125674366
2019-04-01,Urbano,Alimentos,2038.43753907314
2019-04-01,Urbano,Vivienda,5310.51742935738
2019-04-01,Urbano,NANV,3801.00050728601
2019-05-01,Urbano,Alimentos,2049.23618635252
2019-05-01,Urbano,Vivienda,5220.60961191667
2019-05-01,Urbano,NANV,3790.05984071106
2019-06-01,Urbano,Alimentos,2067.08970871892
2019-06-01,Urbano,Vivienda,5203.45986261616
2019-06-01,Urbano,NANV,3792.48294136189
2019-07-01,Urbano,Alimentos,2088.0909240635
2019-07-01,Urbano,Vivienda,5199.14675201364
2019-07-01,Urbano,NANV,3806.72783609706
2019-08-01,Urbano,Alimentos,2064.12355665384
2019-08-01,Urbano,Vivienda,5204.28140749283
2019-08-01,Urbano,NANV,3806.10370411124
2019-09-01,Urbano,Alimentos,2059.0412775371
2019-09-01,Urbano,Vivienda,5216.50188753332
2019-09-01,Urbano,NANV,3816.08981588435
2019-10-01,Urbano,Alimentos,2053.76746916065
2019-10-01,Urbano,Vivienda,5303.53429790567
2019-10-01,Urbano,NANV,3836.68617141639
