nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Rural,2021-02-01,NANV,3059.65797105736
Aguascalientes,1,Rural,2021-03-01,Alimentos,2217.62884333477
Aguascalientes,1,Rural,2021-03-01,Vivienda,3289.87457763033
Aguascalientes,1,Rural,2021-03-01,NANV,3082.40451475521
Aguascalientes,1,Rural,2021-04-01,Alimentos,2260.16068263169
Aguascalientes,1,Rural,2021-04-01,Vivienda,3282.98593695005
Aguascalientes,1,Rural,2021-04-01,NANV,3095.01700508646
Aguascalientes,1,Rural,2021-05-01,Alimentos,2281.33201724619
Aguascalientes,1,Rural,2021-05-01,Vivienda,3277.74325466241
Aguascalientes,1,Rural,2021-05-01,NANV,3106.77581157433
Aguascalientes,1,Rural,2021-06-01,Alimentos,2264.53515496708
Aguascalientes,1,Rural,2021-06-01,Vivienda,3303.13368690432
Aguascalientes,1,Rural,2021-06-01,NANV,3126.13515808715
Aguascalientes,1,Rural,2021-07-01,Alimentos,2300.57599865099
Aguascalientes,1,Rural,2021-07-01,Vivienda,3336.32718115575
Aguascalientes,1,Rural,2021-07-01,NANV,3152.87473911695
Aguascalientes,1,Rural,2021-08-01,Alimentos,2329.00507561346
Aguascalientes,1,Rural,2021-08-01,Vivienda,3305.72454733717
Aguascalientes,1,Rural,2021-08-01,NANV,3162.48556690212
Aguascalientes,1,Rural,2021-09-01,Alimentos,2317.61166059325
Aguascalientes,1,Rural,2021-09-01,Vivienda,3330.50536535958
Aguascalientes,1,Rural,2021-09-01,NANV,3177.60403238653
Aguascalientes,1,Rural,2021-10-01,Alimentos,2320.25226042973
Aguascalientes,1,Rural,2021-10-01,Vivienda,3381.43863339827
Aguascalientes,1,Rural,2021-10-01,NANV,3194.65017106567
Aguascalientes,1,Rural,2021-11-01,Alimentos,2382.49592447355
Aguascalientes,1,Rural,2021-11-01,Vivienda,3381.2862298434
Aguascalientes,1,Rural,2021-11-01,NANV,3220.12299542464
Aguascalientes,1,Rural,2021-12-01,Alimentos,2404.88785423323
Aguascalientes,1,Rural,2021-12-01,Vivienda,3338.1865045252
Aguascalientes,1,Rural,2021-12-01,NANV,3231.19334720011
Aguascalientes,1,Rural,2022-01-01,Alimentos,2445.24186029996
Aguascalientes,1,Rural,2022-01-01,Vivienda,3333.82776285582
Aguascalientes,1,Rural,2022-01-01,NANV,3248.76271146068
Aguascalientes,1,Rural,2022-02-01,Alimentos,2468.56703573623
Aguascalientes,1,Rural,2022-02-01,Vivienda,3356.17012400026
Aguascalientes,1,Rural,2022-02-01,NANV,3266.6349957947
Aguascalientes,1,Rural,2022-03-01,Alimentos,2486.86343752348
