nom_ent,cve_ent,ambito,clave_enigh,nombre_enigh,codigo,serie_api,es_comida_fuera
Baja California,2,Urbano,011633,Manzana y perón,049,895455,FALSE
Baja California,2,Urbano,011712,Lechuga,071,895473,FALSE
Baja California,2,Urbano,011721,Calabaza,060,895466,FALSE
Baja California,2,Urbano,011722,Chayote,062,895468,FALSE
Baja California,2,Urbano,011725,Chile serrano,065,895470,FALSE
Baja California,2,Urbano,011727,Jitomate (tomate rojo),070,895472,FALSE
Baja California,2,Urbano,011728,Pepino,075,895476,FALSE
Baja California,2,Urbano,011729,Tomate verde,076,895477,FALSE
Baja California,2,Urbano,011743,Cebolla,061,895467,FALSE
Baja California,2,Urbano,011746,Nopal,072,895474,FALSE
Baja California,2,Urbano,011748,Zanahoria,078,895478,FALSE
Baja California,2,Urbano,011751,Papa,073,895475,FALSE
Baja California,2,Urbano,011761,Frijol en grano,068,895484,FALSE
Baja California,2,Urbano,011797,Frijol procesado,069,895489,FALSE
Baja California,2,Urbano,011810,Azúcar,082,895496,FALSE
Baja California,2,Urbano,011911,Alimentos preparados para consumo inmediato,269,895522,FALSE
Baja California,2,Urbano,011942,Cilantro,087,895481,FALSE
Baja California,2,Urbano,012100,Jugos de frutas o verduras envasados,095,895493,FALSE
Baja California,2,Urbano,012201,Café soluble,096,895498,FALSE
Baja California,2,Urbano,012501,Agua natural embotellada,099,895502,FALSE
Baja California,2,Urbano,012601,Refrescos sabor cola,100,895503,FALSE
Baja California,2,Urbano,012602,Refrescos de otros sabores,100,895503,FALSE
Baja California,2,Urbano,111111,Desayunos,25,895517,TRUE
Baja California,2,Urbano,111112,Comidas,25,895517,TRUE
Baja California,2,Urbano,111113,Cenas,25,895517,TRUE
Baja California,2,Urbano,111124,Otros alimentos cocinados,269,895522,FALSE
Baja California,2,Urbano,111126,Pollos rostizados,267,895521,FALSE
Baja California,2,Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,895406,FALSE
Baja California,2,Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,895406,FALSE
Baja California,2,Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,895414,FALSE
Baja California,2,Urbano,181134,Plátano verde y Tabasco,055,895461,FALSE
Baja California Sur,3,Urbano,011111,Arroz en grano,001,895832,FALSE
Baja California Sur,3,Urbano,011131,Tortillas de maíz,014,895818,FALSE
Baja California Sur,3,Urbano,011132,Tortillas de harina de trigo,015,895830,FALSE
Baja California Sur,3,Urbano,011133,Pan,008,895821,FALSE
Baja California Sur,3,Urbano,011134,Pan de caja,009,895822,FALSE
Baja California Sur,3,Urbano,011135,Galletas dulces,004,895827,FALSE
Baja California Sur,3,Urbano,011137,Pan dulce a granel,010,895823,FALSE
Baja California Sur,3,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,895829,FALSE
Baja California Sur,3,Urbano,011192,Tostadas,016,895819,FALSE
Baja California Sur,3,Urbano,011221,Bistec de res,018,895841,FALSE
Baja California Sur,3,Urbano,011224,Molida de res,018,895841,FALSE
Baja California Sur,3,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,895836,FALSE
Baja California Sur,3,Urbano,011231,Jamón de puerco,021,895846,FALSE
Baja California Sur,3,Urbano,011252,Chorizo de puerco,020,895845,FALSE
Baja California Sur,3,Urbano,011411,Leche entera fresca,034,895858,FALSE
Baja California Sur,3,Urbano,011433,Crema,030,895865,FALSE
Baja California Sur,3,Urbano,011451,Queso fresco,037,895867,FALSE
Baja California Sur,3,Urbano,011454,Queso Oaxaca o asadero,039,895869,FALSE
Baja California Sur,3,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,895871,FALSE
Baja California Sur,3,Urbano,011481,Huevo de gallina,031,895875,FALSE
Baja California Sur,3,Urbano,011512,Otros aceites vegetales comestibles,042,895878,FALSE
Baja California Sur,3,Urbano,011592,Chicharrón,019,895844,FALSE
Baja California Sur,3,Urbano,011611,Aguacate,045,895881,FALSE
Baja California Sur,3,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,895891,FALSE
Baja California Sur,3,Urbano,011621,Limón,048,895884,FALSE
Baja California Sur,3,Urbano,011633,Manzana y perón,049,895885,FALSE
Baja California Sur,3,Urbano,011712,Lechuga,071,895903,FALSE
Baja California Sur,3,Urbano,011721,Calabaza,060,895896,FALSE
Baja California Sur,3,Urbano,011722,Chayote,062,895898,FALSE
Baja California Sur,3,Urbano,011725,Chile serrano,065,895900,FALSE
Baja California Sur,3,Urbano,011727,Jitomate (tomate rojo),070,895902,FALSE
Baja California Sur,3,Urbano,011728,Pepino,075,895906,FALSE
Baja California Sur,3,Urbano,011729,Tomate verde,076,895907,FALSE
Baja California Sur,3,Urbano,011743,Cebolla,061,895897,FALSE
Baja California Sur,3,Urbano,011746,Nopal,072,895904,FALSE
Baja California Sur,3,Urbano,011748,Zanahoria,078,895908,FALSE
Baja California Sur,3,Urbano,011751,Papa,073,895905,FALSE
Baja California Sur,3,Urbano,011761,Frijol en grano,068,895914,FALSE
Baja California Sur,3,Urbano,011797,Frijol procesado,069,895919,FALSE
Baja California Sur,3,Urbano,011810,Azúcar,082,895926,FALSE
Baja California Sur,3,Urbano,011911,Alimentos preparados para consumo inmediato,269,895952,FALSE
Baja California Sur,3,Urbano,011942,Cilantro,087,895911,FALSE
Baja California Sur,3,Urbano,012100,Jugos de frutas o verduras envasados,095,895923,FALSE
Baja California Sur,3,Urbano,012201,Café soluble,096,895928,FALSE
Baja California Sur,3,Urbano,012501,Agua natural embotellada,099,895932,FALSE
Baja California Sur,3,Urbano,012601,Refrescos sabor cola,100,895933,FALSE
Baja California Sur,3,Urbano,012602,Refrescos de otros sabores,100,895933,FALSE
Baja California Sur,3,Urbano,111111,Desayunos,25,895947,TRUE
Baja California Sur,3,Urbano,111112,Comidas,25,895947,TRUE
Baja California Sur,3,Urbano,111113,Cenas,25,895947,TRUE
Baja California Sur,3,Urbano,111124,Otros alimentos cocinados,269,895952,FALSE
Baja California Sur,3,Urbano,111126,Pollos rostizados,267,895951,FALSE
Baja California Sur,3,Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,895836,FALSE
Baja California Sur,3,Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,895836,FALSE
Baja California Sur,3,Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,895844,FALSE
Baja California Sur,3,Urbano,181134,Plátano verde y Tabasco,055,895891,FALSE
Campeche,4,Urbano,011111,Arroz en grano,001,896262,FALSE
Campeche,4,Urbano,011131,Tortillas de maíz,014,896248,FALSE
Campeche,4,Urbano,011132,Tortillas de harina de trigo,015,896260,FALSE
Campeche,4,Urbano,011133,Pan,008,896251,FALSE
Campeche,4,Urbano,011134,Pan de caja,009,896252,FALSE
Campeche,4,Urbano,011135,Galletas dulces,004,896257,FALSE
Campeche,4,Urbano,011137,Pan dulce a granel,010,896253,FALSE
Campeche,4,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,896259,FALSE
Campeche,4,Urbano,011192,Tostadas,016,896249,FALSE
Campeche,4,Urbano,011221,Bistec de res,018,896271,FALSE
Campeche,4,Urbano,011224,Molida de res,018,896271,FALSE
Campeche,4,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,896266,FALSE
Campeche,4,Urbano,011231,Jamón de puerco,021,896276,FALSE
Campeche,4,Urbano,011252,Chorizo de puerco,020,896275,FALSE
Campeche,4,Urbano,011411,Leche entera fresca,034,896288,FALSE
Campeche,4,Urbano,011433,Crema,030,896295,FALSE
Campeche,4,Urbano,011451,Queso fresco,037,896297,FALSE
Campeche,4,Urbano,011454,Queso Oaxaca o asadero,039,896299,FALSE
Campeche,4,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,896301,FALSE
Campeche,4,Urbano,011481,Huevo de gallina,031,896305,FALSE
Campeche,4,Urbano,011512,Otros aceites vegetales comestibles,042,896308,FALSE
Campeche,4,Urbano,011592,Chicharrón,019,896274,FALSE
Campeche,4,Urbano,011611,Aguacate,045,896311,FALSE
Campeche,4,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,896321,FALSE
Campeche,4,Urbano,011621,Limón,048,896314,FALSE
Campeche,4,Urbano,011633,Manzana y perón,049,896315,FALSE
Campeche,4,Urbano,011712,Lechuga,071,896333,FALSE
Campeche,4,Urbano,011721,Calabaza,060,896326,FALSE
Campeche,4,Urbano,011722,Chayote,062,896328,FALSE
Campeche,4,Urbano,011725,Chile serrano,065,896330,FALSE
Campeche,4,Urbano,011727,Jitomate (tomate rojo),070,896332,FALSE
Campeche,4,Urbano,011728,Pepino,075,896336,FALSE
Campeche,4,Urbano,011729,Tomate verde,076,896337,FALSE
Campeche,4,Urbano,011743,Cebolla,061,896327,FALSE
Campeche,4,Urbano,011746,Nopal,072,896334,FALSE
Campeche,4,Urbano,011748,Zanahoria,078,896338,FALSE
Campeche,4,Urbano,011751,Papa,073,896335,FALSE
Campeche,4,Urbano,011761,Frijol en grano,068,896344,FALSE
Campeche,4,Urbano,011797,Frijol procesado,069,896349,FALSE
Campeche,4,Urbano,011810,Azúcar,082,896356,FALSE
Campeche,4,Urbano,011911,Alimentos preparados para consumo inmediato,269,896382,FALSE
Campeche,4,Urbano,011942,Cilantro,087,896341,FALSE
Campeche,4,Urbano,012100,Jugos de frutas o verduras envasados,095,896353,FALSE
Campeche,4,Urbano,012201,Café soluble,096,896358,FALSE
Campeche,4,Urbano,012501,Agua natural embotellada,099,896362,FALSE
Campeche,4,Urbano,012601,Refrescos sabor cola,100,896363,FALSE
Campeche,4,Urbano,012602,Refrescos de otros sabores,100,896363,FALSE
Campeche,4,Urbano,111111,Desayunos,25,896377,TRUE
Campeche,4,Urbano,111112,Comidas,25,896377,TRUE
Campeche,4,Urbano,111113,Cenas,25,896377,TRUE
Campeche,4,Urbano,111124,Otros alimentos cocinados,269,896382,FALSE
Campeche,4,Urbano,111126,Pollos rostizados,267,896381,FALSE
Campeche,4,Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,896266,FALSE
Campeche,4,Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,896266,FALSE
Campeche,4,Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,896274,FALSE
Campeche,4,Urbano,181134,Plátano verde y Tabasco,055,896321,FALSE
Coahuila,5,Urbano,011111,Arroz en grano,001,896692,FALSE
Coahuila,5,Urbano,011131,Tortillas de maíz,014,896678,FALSE
Coahuila,5,Urbano,011132,Tortillas de harina de trigo,015,896690,FALSE
Coahuila,5,Urbano,011133,Pan,008,896681,FALSE
Coahuila,5,Urbano,011134,Pan de caja,009,896682,FALSE
Coahuila,5,Urbano,011135,Galletas dulces,004,896687,FALSE
Coahuila,5,Urbano,011137,Pan dulce a granel,010,896683,FALSE
Coahuila,5,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,896689,FALSE
Coahuila,5,Urbano,011192,Tostadas,016,896679,FALSE
Coahuila,5,Urbano,011221,Bistec de res,018,896701,FALSE
Coahuila,5,Urbano,011224,Molida de res,018,896701,FALSE
Coahuila,5,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,896696,FALSE
Coahuila,5,Urbano,011231,Jamón de puerco,021,896706,FALSE
Coahuila,5,Urbano,011252,Chorizo de puerco,020,896705,FALSE
Coahuila,5,Urbano,011411,Leche entera fresca,034,896718,FALSE
Coahuila,5,Urbano,011433,Crema,030,896725,FALSE
Coahuila,5,Urbano,011451,Queso fresco,037,896727,FALSE
Coahuila,5,Urbano,011454,Queso Oaxaca o asadero,039,896729,FALSE
Coahuila,5,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,896731,FALSE
Coahuila,5,Urbano,011481,Huevo de gallina,031,896735,FALSE
Coahuila,5,Urbano,011512,Otros aceites vegetales comestibles,042,896738,FALSE
Coahuila,5,Urbano,011592,Chicharrón,019,896704,FALSE
Coahuila,5,Urbano,011611,Aguacate,045,896741,FALSE
Coahuila,5,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,896751,FALSE
Coahuila,5,Urbano,011621,Limón,048,896744,FALSE
Coahuila,5,Urbano,011633,Manzana y perón,049,896745,FALSE
Coahuila,5,Urbano,011712,Lechuga,071,896763,FALSE
Coahuila,5,Urbano,011721,Calabaza,060,896756,FALSE
Coahuila,5,Urbano,011722,Chayote,062,896758,FALSE
Coahuila,5,Urbano,011725,Chile serrano,065,896760,FALSE
Coahuila,5,Urbano,011727,Jitomate (tomate rojo),070,896762,FALSE
Coahuila,5,Urbano,011728,Pepino,075,896766,FALSE
Coahuila,5,Urbano,011729,Tomate verde,076,896767,FALSE
Coahuila,5,Urbano,011743,Cebolla,061,896757,FALSE
Coahuila,5,Urbano,011746,Nopal,072,896764,FALSE
Coahuila,5,Urbano,011748,Zanahoria,078,896768,FALSE
Coahuila,5,Urbano,011751,Papa,073,896765,FALSE
Coahuila,5,Urbano,011761,Frijol en grano,068,896774,FALSE
Coahuila,5,Urbano,011797,Frijol procesado,069,896779,FALSE
Coahuila,5,Urbano,011810,Azúcar,082,896786,FALSE
Coahuila,5,Urbano,011911,Alimentos preparados para consumo inmediato,269,896812,FALSE
Coahuila,5,Urbano,011942,Cilantro,087,896771,FALSE
Coahuila,5,Urbano,012100,Jugos de frutas o verduras envasados,095,896783,FALSE
Coahuila,5,Urbano,012201,Café soluble,096,896788,FALSE
Coahuila,5,Urbano,012501,Agua natural embotellada,099,896792,FALSE
Coahuila,5,Urbano,012601,Refrescos sabor cola,100,896793,FALSE
Coahuila,5,Urbano,012602,Refrescos de otros sabores,100,896793,FALSE
