ambito,clave_enigh,nombre_enigh,ccif_generico,ccif_ruta,serie_api,descripcion_ccif,revisar,nota_match
Urbano,011111,Arroz en grano,001 Arroz,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 001 Arroz",908714,Arroz,no,
Urbano,011131,Tortillas de maíz,014 Tortilla de maíz,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 014 Tortilla de maíz",908727,Tortilla de maíz,no,
Urbano,011132,Tortillas de harina de trigo,015 Tortillas de harina de trigo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 015 Tortillas de harina de trigo",908728,Tortillas de harina de trigo,no,
Urbano,011133,Pan,008 Pan blanco,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 008 Pan blanco",908721,Pan blanco,no,Pan (genérico) ≈ 008 Pan blanco
Urbano,011134,Pan de caja,009 Pan de caja,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 009 Pan de caja",908722,Pan de caja,no,
Urbano,011135,Galletas dulces,004 Galletas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 004 Galletas",908717,Galletas,no,
Urbano,011137,Pan dulce a granel,010 Pan dulce,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 010 Pan dulce",908723,Pan dulce,no,
Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011 Pasta para sopa,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 011 Pasta para sopa",908724,Pasta para sopa,no,
Urbano,011192,Tostadas,016 Tostadas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 016 Tostadas",908729,Tostadas,no,
Urbano,011221,Bistec de res,018 Carne de res,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 018 Carne de res",908732,Carne de res,no,
Urbano,011224,Molida de res,018 Carne de res,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 018 Carne de res",908732,Carne de res,no,
Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022 Pollo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 022 Pollo",908736,Pollo,no,
Urbano,011231,Jamón de puerco,021 Jamón,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 021 Jamón",908735,Jamón,no,
Urbano,011252,Chorizo de puerco,020 Chorizo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 020 Chorizo",908734,Chorizo,no,
Urbano,011411,Leche entera fresca,034 Leche pasteurizada y fresca,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 034 Leche pasteurizada y fresca",908750,Leche pasteurizada y fresca,no,
Urbano,011433,Crema,030 Crema y otros productos a base de leche,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 030 Crema y otros productos a base de leche",908746,Crema y otros productos a base de leche,no,
Urbano,011451,Queso fresco,037 Queso fresco,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 037 Queso fresco",908753,Queso fresco,no,
Urbano,011454,Queso Oaxaca o asadero,039 Queso Oaxaca y asadero,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 039 Queso Oaxaca y asadero",908755,Queso Oaxaca y asadero,no,
