ambito,clave_enigh,nombre_enigh,codigo_ccif,objeto_gasto_generico,objeto_gasto_ruta,serie_api_nacional,revisar,nota_match
Rural,011111,Arroz en grano,001,001 Arroz,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 04 Arroz y cereales preparados, 001 Arroz",865610,no,""
Rural,011131,Tortillas de maíz,014,014 Tortilla de maíz,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 01 Tortillas y derivados del maíz, 014 Tortilla de maíz",865594,no,""
Rural,011132,Tortillas de harina de trigo,015,015 Tortillas de harina de trigo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 015 Tortillas de harina de trigo",865608,no,""
Rural,011133,Pan,008,008 Pan blanco,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 008 Pan blanco",865597,no,Pan (genérico) ≈ 008 Pan blanco
Rural,011134,Pan de caja,009,009 Pan de caja,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 009 Pan de caja",865598,no,""
Rural,011135,Galletas dulces,004,004 Galletas,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 004 Galletas",865603,no,""
Rural,011137,Pan dulce a granel,010,010 Pan dulce,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 010 Pan dulce",865599,no,""
Rural,011150,"Spaghetti, pastas italianas y pastas para sopa",011,011 Pasta para sopa,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 011 Pasta para sopa",865607,no,""
Rural,011192,Tostadas,016,016 Tostadas,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 01 Tortillas y derivados del maíz, 016 Tostadas",865595,no,""
Rural,011221,Bistec de res,018,018 Carne de res,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 07 Carne y vísceras de res, 018 Carne de res",865625,no,""
Rural,011224,Molida de res,018,018 Carne de res,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 07 Carne y vísceras de res, 018 Carne de res",865625,no,""
Rural,011228,Costillas y chuleta de puerco,017,017 Carne de cerdo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 06 Carne y vísceras de cerdo, 017 Carne de cerdo",865618,no,""
Rural,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Rural,011231,Jamón de puerco,021,021 Jamón,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 021 Jamón",865635,no,""
Rural,011252,Chorizo de puerco,020,020 Chorizo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 020 Chorizo",865634,no,""
Rural,011322,Atún enlatado,026,026 Atún y sardina en lata,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.3. Pescados y mariscos, 10 Pescados y mariscos en conserva, 026 Atún y sardina en lata",865643,no,""
Rural,011411,Leche entera fresca,034,034 Leche pasteurizada y fresca,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 11 Leche pasteurizada y fresca, 034 Leche pasteurizada y fresca",865647,no,""
Rural,011433,Crema,030,030 Crema y otros productos a base de leche,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 030 Crema y otros productos a base de leche",865654,no,""
Rural,011451,Queso fresco,037,037 Queso fresco,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 037 Queso fresco",865656,no,""
