ambito,clave_enigh,nombre_enigh,ccif_generico,ccif_ruta,serie_api,descripcion_ccif,revisar,nota_match
Rural,011111,Arroz en grano,001 Arroz,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 001 Arroz",908714,Arroz,no,
Rural,011131,Tortillas de maíz,014 Tortilla de maíz,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 014 Tortilla de maíz",908727,Tortilla de maíz,no,
Rural,011132,Tortillas de harina de trigo,015 Tortillas de harina de trigo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 015 Tortillas de harina de trigo",908728,Tortillas de harina de trigo,no,
Rural,011133,Pan,008 Pan blanco,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 008 Pan blanco",908721,Pan blanco,no,Pan (genérico) ≈ 008 Pan blanco
Rural,011134,Pan de caja,009 Pan de caja,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 009 Pan de caja",908722,Pan de caja,no,
Rural,011135,Galletas dulces,004 Galletas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 004 Galletas",908717,Galletas,no,
Rural,011137,Pan dulce a granel,010 Pan dulce,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 010 Pan dulce",908723,Pan dulce,no,
Rural,011150,"Spaghetti, pastas italianas y pastas para sopa",011 Pasta para sopa,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 011 Pasta para sopa",908724,Pasta para sopa,no,
Rural,011192,Tostadas,016 Tostadas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.1 Cereales y productos a base de cereales, 016 Tostadas",908729,Tostadas,no,
Rural,011221,Bistec de res,018 Carne de res,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 018 Carne de res",908732,Carne de res,no,
Rural,011224,Molida de res,018 Carne de res,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.2 Animales vivos, carne y otras partes comestibles de animales terrestres, 018 Carne de res",908732,Carne de res,no,
