codigo,nombre,ruta_ccif,serie_api
101,Bebidas energéticas,"01 Alimentos y bebidas no alcohólicas, 01.2 Bebidas no alcohólicas, 01.2.9 Otras bebidas no alcohólicas, 101 Bebidas energéticas",908829
102,Concentrados para refrescos,"01 Alimentos y bebidas no alcohólicas, 01.2 Bebidas no alcohólicas, 01.2.9 Otras bebidas no alcohólicas, 102 Concentrados para refrescos",908830
103,Brandy,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.1 Bebidas destiladas y licores, 103 Brandy",908834
104,Ron,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.1 Bebidas destiladas y licores, 104 Ron",908835
105,Tequila,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.1 Bebidas destiladas y licores, 105 Tequila",908836
106,Otros licores,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.1 Bebidas destiladas y licores, 106 Otros licores",908837
107,Vino de mesa,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.2 Vino, 107 Vino de mesa",908839
108,Cerveza,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.1 Bebidas alcohólicas, 02.1.3 Cerveza, 108 Cerveza",908841
109,Cigarrillos,"02 Bebidas alcohólicas, tabaco y estupefacientes, 02.3 Tabaco, 02.3.0 Tabaco, 109 Cigarrillos",908844
110,Blusas y playeras para mujer,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 110 Blusas y playeras para mujer",908848
111,"Calcetas, medias y pantimedias","03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 111 Calcetas, medias y pantimedias",908849
112,Calcetines y calcetas para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 112 Calcetines y calcetas para hombre",908850
113,Calcetines y calcetas para niños,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 113 Calcetines y calcetas para niños",908851
