clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011111,30,Nacional,1,0.254946992887929,0.254946992887929,1,2,30
011131,23,Nacional,1,0.12752405238665,0.12752405238665,1,1.5,23
011132,55,Nacional,0.5,0.0155420329849272,0.0310840659698544,0.5,0.561,27.5
011133,50,Nacional,0.36,0.0101979869630828,0.028327741564119,0.36,0.4,18
011134,83.8709677419355,Nacional,0.62,0.00509718241178204,0.00822126195448717,0.62,0.64,52
011135,106.382978723404,Nacional,0.207,0.00331365872659436,0.0160080131719534,0.2,0.213,22.0212765957447
011137,94.4444444444444,Nacional,0.35,0.00892390450549416,0.0254968700156976,0.325,0.36,33.0555555555556
011150,50,Nacional,0.22,0.00764834699818574,0.034765213628117,0.22,0.25,11
011192,94.4444444444444,Nacional,0.36,0.0101906371278903,0.0283073253552509,0.36,0.4,34
011221,180,Nacional,1,0.127464841151256,0.127464841151256,1,1.5,180
011224,142.857142857143,Nacional,0.75,0.0127450987599536,0.0169934650132714,0.75,0.8,107.142857142857
01122F,80,Nacional,1,0.0509686551322281,0.0509686551322281,1,1.2,80
011231,120,Nacional,0.25,0.012737066333479,0.0509482653339161,0.25,0.3,30
011252,110,Nacional,0.5,0.0637199233927968,0.127439846785594,0.5,0.75,55
011411,25,Nacional,1,0.204016093481842,0.204016093481842,1,1.8,25
011433,80,Nacional,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011451,120,Nacional,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011454,128,Nacional,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,38.4
011460,56,Nacional,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,49.28
011481,50,Nacional,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011512,43,Nacional,1,0.203893750690276,0.203893750690276,1,1.8,43
011592,160.130718954248,Nacional,0.25,0.0127306749403571,0.0509226997614283,0.25,0.3,40.0326797385621
011611,70,Nacional,0.5,0.0254903324016116,0.0509806648032233,0.5,0.6,35
011616,24,Nacional,1,0.0509634701284891,0.0509634701284891,1,1.2,24
011621,30,Nacional,1,0.127454716283008,0.127454716283008,1,1.5,30
011633,38,Nacional,1,0.091773265956163,0.091773265956163,1,1.36,38
011712,35,Nacional,0.5,0.0254859120589102,0.0509718241178204,0.5,0.6,17.5
011721,29,Nacional,1,0.12744834116665,0.12744834116665,1,1.5,29
011722,30,Nacional,0.79,0.101855278760699,0.12893073260848,0.6,1,23.7
011725,40,Nacional,0.25,0.012744532795305,0.0509781311812199,0.25,0.3,10
011727,26,Nacional,1,0.0765089816876455,0.0765089816876455,1,1.3,26
011728,26,Nacional,1,0.12737087928784,0.12737087928784,1,1.5,26
011729,24,Nacional,1,0.254803422138012,0.254803422138012,1,2,24
011743,26.9411764705882,Nacional,0.5,0.0369768878622019,0.0739537757244038,0.5,0.645,13.4705882352941
011746,30.3030303030303,Nacional,0.6,0.0572908029121256,0.0954846715202094,0.525,0.75,18.1818181818182
011748,22.4489795918367,Nacional,0.5,0.0509873590494508,0.101974718098902,0.5,0.7,11.2244897959184
011751,30,Nacional,1,0.101998754009379,0.101998754009379,1,1.4,30
011761,39,Nacional,1,0.203944633584229,0.203944633584229,1,1.8,39
011797,37.5,Nacional,0.5,0.0203892704354492,0.0407785408708983,0.5,0.58,18.75
011810,28,Nacional,1,0.254898101543729,0.254898101543729,1,2,28
011911,50,Nacional,1,0.254754659135411,0.254754659135411,1,2,50
011942,75.4716981132076,Nacional,0.1,0.00585988375077174,0.0585988375077174,0.1,0.123,7.54716981132076
012100,27.7777777777778,Nacional,1,0.112097008406793,0.112097008406793,1,1.44,27.7777777777778
012201,588.235294117647,Nacional,0.085,0.0152801260091982,0.179766188343508,0.06,0.12,50
012501,1.15,Nacional,20,4.58980060284634,0.229490030142317,20,38,23
012601,16.6666666666667,Nacional,2,0.127515828292768,0.0637579141463842,2,2.5,33.3333333333333
012602,14,Nacional,2,0.127420275168522,0.063710137584261,2,2.5,28
111111,60,Nacional,1,0.254972071074869,0.254972071074869,1,2,60
111112,80,Nacional,2,0.255012245528971,0.127506122764486,2,3,160
111113,90,Nacional,2,0.254926162129635,0.127463081064817,2,3,180
